#Classification,HK1-1,HK1-2,HK1-3,HK1-4,HK1-5,HK2-1,HK2-2,HK2-3,HK2-4,HK2-5,HK3-1,HK3-2,HK3-3,HK3-4,HK3-5
Pseudomonadota,70.41098686,71.70505024,73.94417401,73.95972294,71.60082736,76.32847851,73.33706099,69.73210915,78.53617191,74.67909636,73.41916139,73.17820638,72.19596493,69.7705596,77.53681254
Actinomycetota,17.54700664,12.89146578,16.29163172,11.88746015,15.89313493,10.65686102,15.43662043,19.51141914,9.957948138,14.42190871,15.37002129,14.33573754,14.63037065,10.66793414,11.64057296
Bacteroidota,5.573222648,9.646513068,5.051119026,9.123170422,7.039165899,8.279776778,5.720655059,5.755842528,5.987713892,5.496320885,5.314846115,6.718450732,6.82454595,14.72657273,5.955142851
Bacillota,2.113225474,2.035749704,1.550561264,1.274613997,1.566215726,1.237695103,1.437671987,1.318228117,0.926312478,1.487284463,2.155097831,1.894213397,2.272891238,1.430426172,1.583930883
Planctomycetota,1.079171556,0.984721214,0.961654796,1.191045363,1.282633976,1.138374152,0.914822981,1.085785379,1.79608763,1.29582296,1.087308181,1.467836756,1.513638969,1.055552764,0.958200539
Verrucomicrobiota,0.703145744,0.911595792,0.576952355,0.809558679,0.811673653,0.742591687,0.619540261,0.659315873,1.257963608,0.996403873,0.517565722,0.526351937,0.819820198,0.734330916,0.635031705
Myxococcota,0.920918543,0.548650702,0.547197325,0.722371491,0.650609624,0.660694722,1.368449839,0.773020497,0.667056311,0.528981097,0.615998701,0.586724831,0.497462355,0.568061325,0.577112024
Cyanobacteriota,0.323741228,0.318061656,0.245942114,0.221529537,0.284407206,0.197457747,0.284254383,0.220998673,0.136213857,0.221890272,0.337391736,0.347227223,0.332760091,0.236950032,0.260411377
Thermodesulfobacteriota,0.222755534,0.165089607,0.171322982,0.171468135,0.175471992,0.153347996,0.166157573,0.206539262,0.165340127,0.179031812,0.202519074,0.17076113,0.177173776,0.155586875,0.168841083
Acidobacteriota,0.309441463,0.134714929,0.141799508,0.118301047,0.122892929,0.107927216,0.119846694,0.175982183,0.112103778,0.141300138,0.303320251,0.126118422,0.12068845,0.095166071,0.11367439
Others,0.776453372,0.640776454,0.500972827,0.503463269,0.555181877,0.481527931,0.579577798,0.541218817,0.44032448,0.536726602,0.658129697,0.630758272,0.59902409,0.542332904,0.552655859
