#Classification,HK1-1,HK1-2,HK1-3,HK1-4,HK1-5,HK2-1,HK2-2,HK2-3,HK2-4,HK2-5,HK3-1,HK3-2,HK3-3,HK3-4,HK3-5
d__Bacteria|p__Caldisericota|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile,1.70642E-06,1.93881E-06,1.73667E-06,1.1397E-06,2.25124E-06,3.3833E-06,3.66255E-06,3.324E-06,0,0,2.67377E-06,3.87716E-06,3.91482E-06,2.11539E-06,2.13824E-06
d__Bacteria|p__Atribacterota|c__Atribacteria|o__Atribacterales|f__Atribacteraceae|g__Atribacter|s__Atribacter_laminatus,1.70642E-06,2.90821E-06,3.47335E-06,2.56433E-06,2.50138E-06,3.59475E-06,2.84865E-06,3.324E-06,0,0,4.96558E-06,3.87716E-06,3.35556E-06,1.32212E-06,1.60368E-06
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_proteolyticus,3.41283E-06,1.29254E-06,2.89446E-06,0,1.00055E-06,1.26874E-06,1.6278E-06,0,2.26538E-06,1.47533E-06,0,0,0,1.32212E-06,1.06912E-06
d__Bacteria|p__Dictyoglomota|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum,1.70642E-06,1.93881E-06,1.15778E-06,0,1.25069E-06,0,0,0,0,0,2.67377E-06,0,2.7963E-06,1.85097E-06,1.3364E-06
d__Bacteria|p__Dictyoglomota|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum,2.0477E-06,2.58508E-06,1.44723E-06,0,1.75097E-06,2.32602E-06,4.0695E-06,1.89943E-06,0,2.95067E-06,0,2.21552E-06,4.47409E-06,0,1.60368E-06
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum,1.36513E-06,0,1.15778E-06,1.70955E-06,2.25124E-06,8.45825E-07,0,2.37429E-06,0,4.426E-06,6.11148E-06,0,0,1.58654E-06,1.3364E-06
d__Bacteria|p__Elusimicrobiota|c__Endomicrobiia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus_Endomicrobium_trichonymphae,2.73027E-06,2.58508E-06,1.44723E-06,1.99448E-06,1.00055E-06,1.26874E-06,2.4417E-06,1.42457E-06,0,2.213E-06,3.81967E-06,0,0,0,2.13824E-06
d__Bacteria|p__Elusimicrobiota|c__Endomicrobiia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum,3.75412E-06,4.20075E-06,1.73667E-06,2.2794E-06,2.00111E-06,2.11456E-06,3.2556E-06,1.89943E-06,2.26538E-06,1.84417E-06,1.90984E-06,4.43104E-06,0,2.37981E-06,3.20737E-06
d__Bacteria|p__Chrysiogenota|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum_indicum,1.67229E-05,1.16329E-05,1.12884E-05,1.28216E-05,1.17565E-05,1.2053E-05,8.54594E-06,1.06843E-05,1.19741E-05,6.639E-06,1.03131E-05,1.60625E-05,2.23704E-05,7.40386E-06,1.38986E-05
d__Bacteria|s__unidentified_bacterial_endosymbiont,2.18421E-05,2.42351E-05,2.37346E-05,2.47885E-05,2.1762E-05,1.45905E-05,1.5871E-05,2.58797E-05,2.78318E-05,1.9917E-05,1.79525E-05,2.43707E-05,1.00667E-05,1.98318E-05,1.84424E-05
