Classification,Water,WT,dagr,Phylum,color
Caldisericum_exile,1.75457E-06,2.07397E-06,2.94388E-06,nosig,#EAEAEA
Atribacter_laminatus,2.63074E-06,1.95348E-06,3.02482E-06,nosig,#EAEAEA
Coprothermobacter_proteolyticus,1.72008E-06,1.32745E-06,4.78248E-07,nosig,#EAEAEA
Dictyoglomus_turgidum,1.5662E-06,2.24912E-06,1.65866E-06,nosig,#EAEAEA
Elusimicrobium_minutum,1.29674E-06,1.52922E-06,1.80688E-06,nosig,#EAEAEA
Candidatus_Endomicrobium_trichonymphae,1.95152E-06,1.4696E-06,1.19158E-06,nosig,#EAEAEA
Endomicrobium_proavitum,2.79441E-06,2.27583E-06,2.38561E-06,nosig,#EAEAEA
Desulfurispirillum_indicum,1.28445E-05,9.97927E-06,1.40097E-05,nosig,#EAEAEA
unidentified_bacterial_endosymbiont,2.32725E-05,0.000020818,1.81328E-05,nosig,#EAEAEA
Mucispirillum_schaedleri,4.48784E-06,3.39821E-06,8.75043E-06,nosig,#EAEAEA
Flexistipes_sinusarabici,3.85663E-06,2.30359E-06,3.99452E-06,nosig,#EAEAEA
Denitrovibrio_acetiphilus,7.84719E-06,7.3328E-06,7.05971E-06,nosig,#EAEAEA
Geovibrio_thiophilus,4.08005E-06,3.57426E-06,4.34199E-06,nosig,#EAEAEA
Desulfurobacterium_thermolithotrophum,2.3739E-06,2.47881E-06,2.97491E-06,nosig,#EAEAEA
Thermovibrio_ammonificans,1.7588E-06,1.5796E-06,1.68824E-06,nosig,#EAEAEA
Thermosulfidibacter_takaii,3.41284E-07,1.25233E-06,8.0733E-07,nosig,#EAEAEA
Persephonella_marina,2.46898E-06,2.2849E-06,2.37418E-06,nosig,#EAEAEA
Sulfurihydrogenibium_sp__YO3AOP1,2.58651E-06,2.46726E-06,2.53255E-06,nosig,#EAEAEA
Sulfurihydrogenibium_azorense,2.7344E-06,2.86637E-06,3.81334E-06,nosig,#EAEAEA
Hydrogenobacter_thermophilus,1.76619E-06,1.03403E-06,1.03143E-06,nosig,#EAEAEA
Thermocrinis_albus,1.50093E-06,4.27372E-07,1.02826E-06,nosig,#EAEAEA
Thermocrinis_ruber,3.85204E-06,2.52874E-06,4.31337E-06,nosig,#EAEAEA
Thermocrinis_minervae,5.09488E-06,3.67436E-06,5.88023E-06,nosig,#EAEAEA
Candidatus_Absconditicoccus_praedator,2.42937E-06,1.6377E-06,1.86247E-06,nosig,#EAEAEA
Candidatus_Fervidibacter_sacchari,4.3783E-06,3.46563E-06,3.59674E-06,nosig,#EAEAEA
Candidatus_Bipolaricaulis_anaerobius,5.91519E-06,5.49968E-06,4.80923E-06,nosig,#EAEAEA
Candidatus_Babela_massiliensis,4.18731E-06,3.00365E-06,4.29479E-06,nosig,#EAEAEA
Candidatus_Minimicrobia_vallesae,4.31381E-06,3.6224E-06,2.09196E-06,nosig,#EAEAEA
Candidatus_Mycosynbacter_amalyticus,1.31067E-05,1.71279E-05,1.69168E-05,nosig,#EAEAEA
Candidatus_Saccharimonas_aalborgensis,6.445E-06,9.53025E-06,7.38782E-06,nosig,#EAEAEA
